,goal,t,i,n_samples,accuracy,surprise,cost,error
0,0,0,0,1273,0.7113970588235294,2.172128229908291,1.0375639703665271,1.1345642595417638
1,0,0,1,1401,0.6968457943925235,2.119492520169911,0.9682521442272196,1.1512403759426915
2,0,0,2,1215,0.7298177083333334,2.1713350639660822,1.1848271915124593,0.9865078724536227
3,0,0,3,1382,0.7346059113300493,2.10569356079005,1.0686178044673915,1.0370757563226585
4,0,0,4,1137,0.7393465909090909,2.1148963457651964,1.1006797968385942,1.0142165489266022
5,0,0,5,1598,0.6965547703180213,2.118869766221582,0.9845668911766002,1.1343028750449815
6,0,0,6,1220,0.7162990196078431,2.1295286504760114,1.0382649641572832,1.091263686318728
7,0,0,7,1031,0.6882102272727273,2.168550856603294,0.9870366384058712,1.1815142181974227
8,0,0,8,881,0.7614436619718311,2.1519897067721443,1.177388539037312,0.9746011677348321
9,0,0,9,1215,0.7032657657657658,2.120019517025031,0.9989623056620742,1.1210572113629564
10,0,0,10,1247,0.6991626794258372,2.1339489587568075,0.9626707163766124,1.1712782423801948
11,0,0,11,1278,0.7350260416666667,2.125117315564463,1.0619313446950478,1.0631859708694154
12,0,0,12,1101,0.6829427083333334,2.1731623955088577,0.9872914671741738,1.1858709283346838
13,0,0,13,828,0.7275000000000001,2.122029765305129,1.0845309574050044,1.0374988079001246
14,0,0,14,880,0.7757812500000002,2.1303204174354162,1.1748671748401893,0.9554532425952267
15,0,0,15,1048,0.7420977011494254,2.137309824323169,1.1150408732118364,1.0222689511113325
16,0,0,16,1219,0.6901315789473683,2.1144499869114775,0.9813860542489332,1.1330639326625445
17,0,0,17,1004,0.7226331360946746,2.1839443169348245,1.0710196683208455,1.1129246486139792
18,0,0,18,1265,0.7212009803921569,2.1187103507371017,1.0418801888260523,1.0768301619110496
19,0,0,19,1633,0.7161111111111113,2.127025809977029,1.0298203227771403,1.0972054871998886
20,0,0,20,1157,0.7695086705202313,2.122855235353337,1.1475499001104612,0.9753053352428759
21,0,0,21,1177,0.6871301775147929,2.150735084501412,0.9681195724752094,1.1826155120262025
22,0,0,22,1039,0.65625,2.119312484624956,0.9407259756397727,1.1785865089851832
23,0,0,23,2188,0.7107469512195121,2.1443142082118456,1.050784282542522,1.0935299256693236
24,0,0,24,1625,0.6992677824267782,2.1014673785976528,0.976241126217133,1.1252262523805199
25,0,0,25,1273,0.6868872549019608,2.107792646766409,0.9732283872246454,1.1345642595417635
26,0,0,26,1621,0.7608506944444446,2.1078638980509403,1.1309407878992916,0.9769231101516485
27,0,0,27,1284,0.7445652173913044,2.1167119422133567,1.136288310177509,0.9804236320358479
28,0,0,28,969,0.7087837837837839,2.0958147683077737,1.0042682629297066,1.091546505378067
29,0,0,29,980,0.763621794871795,2.1170300854906916,1.1262459344715727,0.9907841510191189
30,0,0,30,1123,0.7066176470588236,2.135383474749662,1.0271603972519114,1.1082230774977502
31,0,0,31,847,0.7001748251748253,2.1255157873597748,0.9290412968140958,1.196474490545679
32,0,0,32,996,0.724264705882353,2.1201166917688052,1.0811745314279129,1.0389421603408926
33,0,0,33,981,0.7252994011976047,2.111409423888059,1.0418068277170824,1.0696025961709763
34,0,0,34,1399,0.7200203252032521,2.1252412427808833,1.0709854650806248,1.0542557777002588
35,0,0,35,1225,0.7155797101449276,2.1176920750444395,1.0234736998524006,1.094218375192039
36,0,0,36,1543,0.690406976744186,2.1365715656501685,1.0026366749052515,1.1339348907449172
37,0,0,37,1053,0.749233128834356,2.153914183693301,1.1199529175115,1.0339612661818012
38,0,0,38,1478,0.7253440366972477,2.112044877430659,1.0707191992976723,1.0413256781329865
39,0,0,39,1117,0.7610677083333334,2.124027237411791,1.1528549846413265,0.9711722527704645
40,0,0,40,1009,0.7088509316770186,2.1360441198132936,0.9834043363044604,1.1526397835088333
41,0,0,41,1477,0.6925223214285714,2.1039523669675626,0.950669630459591,1.1532827365079714
42,0,0,42,1132,0.6973314606741574,2.1267046652023414,0.9714834374422847,1.1552212277600566
43,0,0,43,1328,0.6845518867924529,2.1199220192180976,0.9191133292580732,1.2008086899600245
44,0,0,44,1255,0.7382425742574259,2.1093888412088004,1.054155376090924,1.0552334651178765
45,0,0,45,1020,0.6614583333333335,2.130997892911572,0.9081571671264169,1.2228407257851552
46,0,0,46,1237,0.7369505494505495,2.12928947251791,1.1381682749123485,0.9911211976055618
47,0,0,47,1460,0.7266304347826087,2.1181627190363104,1.0763966082678285,1.041766110768482
48,0,0,48,1668,0.7580492424242425,2.1137321120407817,1.1657375572005462,0.9479945548402358
49,0,0,49,984,0.6521381578947368,2.1112644329657955,0.8120915249983025,1.299172907967493
50,0,0,50,1131,0.7231675392670158,2.151523086144109,1.084412882751058,1.0671102033930508
51,0,0,51,1323,0.7114928909952607,2.133136991919703,1.025806603964703,1.1073303879550005
52,0,0,52,1209,0.7037760416666667,2.1325706891304885,0.9927066198452806,1.139864069285208
53,0,0,53,990,0.7117052023121387,2.153535603129197,1.0250513614556966,1.1284842416735001
54,0,0,54,1275,0.7380050505050506,2.1267818026068195,1.0863088139196577,1.0404729886871618
55,0,0,55,994,0.7023480662983425,2.1140570058868136,0.9727843472246301,1.1412726586621833
56,0,0,56,1238,0.6493243243243244,2.129160994696629,0.878455625579835,1.250705369116794
57,0,0,57,1027,0.7581360946745562,2.1136633691647075,1.1052750156690634,1.0083883534956442
58,0,0,58,1651,0.6742021276595744,2.1211721534019112,0.9839591885832066,1.1372129648187046
59,0,0,59,1372,0.6708115183246075,2.1204558116597108,0.899186499409778,1.2212693122499327
60,0,0,60,1422,0.7070463320463322,2.114269331644034,0.9948700251116898,1.1193993065323444
61,0,0,61,1393,0.7457932692307692,2.133424171272255,1.1137382754656449,1.0196858958066097
62,0,0,62,926,0.6891233766233767,2.1573210503107907,0.9665457111358762,1.1907753391749147
63,0,0,63,977,0.6911290322580647,2.1169753838687835,0.9318588690830293,1.1851165147857543
64,0,0,64,1636,0.6993243243243243,2.120633493937733,0.9898656971383367,1.1307677967993965
65,0,0,65,890,0.7131294964028778,2.172689135784637,1.1414569695967671,1.03123216618787
66,0,0,66,1336,0.7072222222222223,2.121978620858198,0.9724275518064615,1.1495510690517368
67,0,0,67,1147,0.7059210526315788,2.142330495617844,1.009266562955299,1.1330639326625447
68,0,0,68,1286,0.6829399141630902,2.1465685534249963,0.9246210734215091,1.2219474800034873
69,0,0,69,973,0.715029761904762,2.1062202363297766,0.9885380455148516,1.1176821908149253
70,0,0,70,1144,0.7274484536082476,2.1042553772667287,1.1095065854730581,0.9947487917936706
71,0,0,71,1644,0.7734063745019921,2.1261863506217864,1.1805301861787285,0.9456561644430577
72,0,0,72,1306,0.6688701923076923,2.1142798948147603,0.8822546495490321,1.232025245265728
73,0,0,73,1401,0.6686422413793103,2.1207350081926837,0.8948724854256251,1.2258625227670583
74,0,0,74,1271,0.7312176165803108,2.1172521092619796,1.0732058658080086,1.0440462434539708
75,0,0,75,1088,0.6591614906832298,2.1650972466163125,0.8661499361923768,1.2989473104239357
76,0,0,76,1258,0.7364386792452831,2.1034930594628283,1.0554618637048359,1.0480311957579924
77,0,0,77,1085,0.6464285714285716,2.1413976449843934,0.8203213211145484,1.3210763238698449
78,0,0,78,1311,0.6673076923076925,2.102156975228442,0.8844056528985771,1.217751322329865
79,0,0,79,1287,0.7153925619834711,2.108703264076622,1.0057048838438,1.102998380232822
80,0,0,80,1204,0.6982558139534883,2.1056319572872795,0.9856774454163121,1.1199545118709675
81,0,0,81,963,0.7410714285714287,2.167429988823973,1.1296125186966657,1.0378174701273075
82,0,0,82,882,0.7141768292682928,2.1231181347330166,1.0576411718987393,1.0654769628342775
83,0,0,83,1191,0.6673497267759564,2.1427095952043054,0.897853096899768,1.2448564983045376
84,0,0,84,1054,0.702639751552795,2.099221778933162,0.9465819954243289,1.1526397835088331
85,0,0,85,1186,0.728846153846154,2.1097075192320784,1.0429530676286973,1.0667544516033811
86,0,0,86,1062,0.7166193181818181,2.1018526765845325,1.00398729302252,1.0978653835620125
87,0,0,87,1218,0.7107487922705314,2.133868887089297,1.025426169002734,1.1084427180865628
88,0,0,88,1388,0.7222826086956522,2.1177745087265647,1.0504045807479396,1.0673699279786248
89,0,0,89,898,0.6489197530864197,2.1340874259405056,0.7866955032577402,1.3473919226827655
90,0,0,90,2014,0.7049005681818182,2.11299818103498,0.9973574201129431,1.1156407609220371
91,0,0,91,1208,0.7171391752577322,2.130676993970076,1.014508038087068,1.116168955883008
92,0,0,92,1101,0.7023480662983425,2.1117576851016953,0.937949789100656,1.1738078960010392
93,0,0,93,952,0.652138157894737,2.171870319317338,0.9114400294967717,1.2604302898205662
94,0,0,94,829,0.6740196078431372,2.1301584137463516,0.8951608802011576,1.2349975335451941
95,0,0,95,1038,0.654874213836478,2.1187145956059794,0.8629291558384051,1.255785439767574
96,0,0,96,1381,0.7147959183673469,2.1067901956790602,1.0014390949767156,1.1053511007023447
97,0,0,97,935,0.6717741935483873,2.1594253362032205,0.9553124409067147,1.2041128952965057
98,0,0,98,978,0.7435714285714287,2.108579800957602,1.107185423397256,1.0013943775603458
99,0,0,99,958,0.7263071895424836,2.1678355334572474,1.0483061951734827,1.1195293382837648
100,0,5,0,1572,0.6120468968688395,2.399030824396104,1.0288341324840293,1.3701966919120747
101,0,5,1,1464,0.6581906992244972,2.4002725883316356,1.0959292934395997,1.304343294892036
102,0,5,2,1637,0.5577169830988593,2.384362883553351,0.8604487814400752,1.5239141021132758
103,0,5,3,1394,0.6092028618321799,2.3890847565244293,0.9613318269825242,1.4277529295419054
104,0,5,4,1782,0.6221918519116847,2.4136812747936043,1.0370811564438311,1.3766001183497734
105,0,5,5,1640,0.5963720240150554,2.395410476982845,0.9527835273799162,1.4426269496029287
106,0,5,6,1413,0.6397904959288578,2.3967499150212346,1.0707522871010675,1.325997627920167
107,0,5,7,1669,0.605408303774905,2.3813373102237927,0.964722249424175,1.4166150607996177
108,0,5,8,1354,0.5421527425891726,2.4211825124065,0.8120067308743822,1.6091757815321177
109,0,5,9,2090,0.6124777975474562,2.4014746479726687,1.0139588421540895,1.3875158058185795
110,0,5,10,1552,0.5695833018881967,2.38722991219511,0.868889489790877,1.5183404224042332
111,0,5,11,2190,0.6231199334082387,2.3986000538340613,1.015999000986257,1.3826010528478043
112,0,5,12,1486,0.6004414094863837,2.399336892960691,0.9569563910124091,1.4423805019482818
113,0,5,13,2386,0.6113946553992395,2.3822278723314394,0.9856914636740547,1.3965364086573846
114,0,5,14,1645,0.5740185825125937,2.38722077390453,0.8491846706683699,1.5380361032361602
115,0,5,15,1341,0.6052794057184488,2.4088184098578056,1.0034614877707189,1.4053569220870867
116,0,5,16,1944,0.5755825697123051,2.390538395143915,0.8923563935650761,1.4981820015788392
117,0,5,17,1194,0.6174133815258503,2.391595176719089,1.0279199502953038,1.3636752264237848
118,0,5,18,1566,0.6192356947789004,2.385465054066187,1.0157461106959476,1.3697189433702395
119,0,5,19,1699,0.576947248749903,2.40079617434348,0.931626481063703,1.4691696932797766
120,0,5,20,1279,0.5852728699121692,2.3937251403276085,0.9450292798560913,1.4486958604715172
121,0,5,21,1378,0.5734143824593567,2.3826416727281456,0.8447658525366276,1.5378758201915181
122,0,5,22,1846,0.6168112363241139,2.3930077903036966,1.0048584721575708,1.3881493181461257
123,0,5,23,1607,0.5606369673035653,2.421659850713089,0.8451615942502968,1.576498256462792
124,0,5,24,1082,0.5917085582074273,2.393217590898576,0.9699693672547384,1.4232482236438377
125,0,5,25,1730,0.6040629527879308,2.385186750009882,1.0007031252305039,1.3844836247793777
126,0,5,26,1735,0.6398156767066394,2.4034184651112827,1.1141605864777957,1.289257878633487
127,0,5,27,1185,0.5876236177740707,2.379696446401888,0.9088172444462979,1.4708792019555903
128,0,5,28,1866,0.575856890353684,2.3848143678186062,0.8917422326400756,1.4930721351785305
129,0,5,29,1492,0.5649181641409875,2.3937984592431247,0.8713311546483054,1.5224673045948192
130,0,5,30,1248,0.5953049722547774,2.4340494261392616,0.9480431438817032,1.4860062822575584
131,0,5,31,1462,0.5619340147325186,2.4042530132915285,0.9109617625171547,1.493291250774374
132,0,5,32,1283,0.5807509923146973,2.4363337787714316,0.9245802348767775,1.511753543894654
133,0,5,33,1878,0.6490977717147974,2.4040370385634207,1.093674631596477,1.3103624069669437
134,0,5,34,1290,0.6607798766344933,2.397185783318962,1.1224707572272494,1.2747150260917126
135,0,5,35,1911,0.5908692273921593,2.411608215789382,1.007518203659573,1.4040900121298092
136,0,5,36,1643,0.5736962700221376,2.3974151566495188,0.9332277883807926,1.464187368268726
