,id,rho,alpha,kappa,ll,model_type
0,1,0.95,0.2,0.5,-0.5167348489385255,full
1,1,0.95,0.2,0.5210526315789473,-0.5177757315328297,full
2,1,0.95,0.2,0.5421052631578948,-0.5188952010504074,full
3,1,0.95,0.2,0.5631578947368421,-0.5200830314628115,full
4,1,0.95,0.2,0.5842105263157895,-0.5213303270870477,full
5,1,0.95,0.2,0.6052631578947368,-0.5226292796012466,full
6,1,0.95,0.2,0.6263157894736842,-0.5239729848468916,full
7,1,0.95,0.2,0.6473684210526316,-0.5253553021667048,full
8,1,0.95,0.2,0.6684210526315789,-0.5267707444836212,full
9,1,0.95,0.2,0.6894736842105263,-0.5282143909235948,full
10,1,0.95,0.2,0.7105263157894737,-0.5296818162004323,full
11,1,0.95,0.2,0.7315789473684211,-0.5311690326307017,full
12,1,0.95,0.2,0.7526315789473684,-0.5326724417913382,full
13,1,0.95,0.2,0.7736842105263158,-0.5341887936376932,full
14,1,0.95,0.2,0.7947368421052632,-0.5357151514729377,full
15,1,0.95,0.2,0.8157894736842105,-0.5372488615719658,full
16,1,0.95,0.2,0.8368421052631578,-0.5387875265619411,full
17,1,0.95,0.2,0.8578947368421053,-0.540328981880057,full
18,1,0.95,0.2,0.8789473684210527,-0.5418712747895644,full
19,1,0.95,0.2,0.9,-0.5434126455536344,full
20,1,0.95,1.0,0.5,-0.5145994663290259,full
21,1,0.95,1.0,0.5210526315789473,-0.5163479779200857,full
22,1,0.95,1.0,0.5421052631578948,-0.5181829609331852,full
23,1,0.95,1.0,0.5631578947368421,-0.5200874522223342,full
24,1,0.95,1.0,0.5842105263157895,-0.5220472532747864,full
25,1,0.95,1.0,0.6052631578947368,-0.5240504064491056,full
26,1,0.95,1.0,0.6263157894736842,-0.5260867906430137,full
27,1,0.95,1.0,0.6473684210526316,-0.5281478046688655,full
28,1,0.95,1.0,0.6684210526315789,-0.5302261160173145,full
29,1,0.95,1.0,0.6894736842105263,-0.5323154590757968,full
30,1,0.95,1.0,0.7105263157894737,-0.5344104712674986,full
31,1,0.95,1.0,0.7315789473684211,-0.5365065586477349,full
32,1,0.95,1.0,0.7526315789473684,-0.5385997846666264,full
33,1,0.95,1.0,0.7736842105263158,-0.5406867773620098,full
34,1,0.95,1.0,0.7947368421052632,-0.5427646513732267,full
35,1,0.95,1.0,0.8157894736842105,-0.5448309419923781,full
36,1,0.95,1.0,0.8368421052631578,-0.5468835490819883,full
37,1,0.95,1.0,0.8578947368421053,-0.5489206891471531,full
38,1,0.95,1.0,0.8789473684210527,-0.5509408541982778,full
39,1,0.95,1.0,0.9,-0.5529427763071769,full
40,1,0.95,5.0,0.5,-0.5140321241795596,full
41,1,0.95,5.0,0.5210526315789473,-0.5161619916934312,full
42,1,0.95,5.0,0.5421052631578948,-0.5184084793122861,full
43,1,0.95,5.0,0.5631578947368421,-0.5207440253491815,full
44,1,0.95,5.0,0.5842105263157895,-0.5231462364080739,full
45,1,0.95,5.0,0.6052631578947368,-0.5255968406963676,full
46,1,0.95,5.0,0.6263157894736842,-0.528080877589202,full
47,1,0.95,5.0,0.6473684210526316,-0.5305860644127838,full
48,1,0.95,5.0,0.6684210526315789,-0.5331022975126465,full
49,1,0.95,5.0,0.6894736842105263,-0.535621256048965,full
50,1,0.95,5.0,0.7105263157894737,-0.5381360850859446,full
51,1,0.95,5.0,0.7315789473684211,-0.5406411404055248,full
52,1,0.95,5.0,0.7526315789473684,-0.5431317817495668,full
53,1,0.95,5.0,0.7736842105263158,-0.5456042043404504,full
54,1,0.95,5.0,0.7947368421052632,-0.5480553008670487,full
55,1,0.95,5.0,0.8157894736842105,-0.5504825478747778,full
56,1,0.95,5.0,0.8368421052631578,-0.5528839118226182,full
57,1,0.95,5.0,0.8578947368421053,-0.5552577710791032,full
58,1,0.95,5.0,0.8789473684210527,-0.5576028509041715,full
59,1,0.95,5.0,0.9,-0.5599181690631718,full
60,1,0.95,30.0,0.5,-0.5497201803615923,full
61,1,0.95,30.0,0.5210526315789473,-0.5510725206065912,full
62,1,0.95,30.0,0.5421052631578948,-0.5526429465043584,full
63,1,0.95,30.0,0.5631578947368421,-0.5543889643791301,full
64,1,0.95,30.0,0.5842105263157895,-0.5562756356578887,full
65,1,0.95,30.0,0.6052631578947368,-0.558274136458397,full
66,1,0.95,30.0,0.6263157894736842,-0.5603606152129308,full
67,1,0.95,30.0,0.6473684210526316,-0.5625152820898499,full
68,1,0.95,30.0,0.6684210526315789,-0.5647216795631935,full
69,1,0.95,30.0,0.6894736842105263,-0.5669660952410649,full
70,1,0.95,30.0,0.7105263157894737,-0.5692370869625126,full
71,1,0.95,30.0,0.7315789473684211,-0.571525096929409,full
72,1,0.95,30.0,0.7526315789473684,-0.5738221367897965,full
73,1,0.95,30.0,0.7736842105263158,-0.5761215295307147,full
74,1,0.95,30.0,0.7947368421052632,-0.5784176970682909,full
75,1,0.95,30.0,0.8157894736842105,-0.580705984762274,full
76,1,0.95,30.0,0.8368421052631578,-0.5829825158967551,full
77,1,0.95,30.0,0.8578947368421053,-0.5852440705827833,full
78,1,0.95,30.0,0.8789473684210527,-0.5874879846454272,full
79,1,0.95,30.0,0.9,-0.5897120649282102,full
80,1,0.9,0.2,0.5,-0.5008961077559816,full
81,1,0.9,0.2,0.5210526315789473,-0.4996952685129591,full
82,1,0.9,0.2,0.5421052631578948,-0.49867582337362526,full
83,1,0.9,0.2,0.5631578947368421,-0.4978130158924957,full
84,1,0.9,0.2,0.5842105263157895,-0.4970871825196082,full
85,1,0.9,0.2,0.6052631578947368,-0.4964824531453599,full
86,1,0.9,0.2,0.6263157894736842,-0.49598581898455185,full
87,1,0.9,0.2,0.6473684210526316,-0.4955864566914491,full
88,1,0.9,0.2,0.6684210526315789,-0.49527523310240384,full
89,1,0.9,0.2,0.6894736842105263,-0.4950443386114478,full
90,1,0.9,0.2,0.7105263157894737,-0.49488701305185695,full
91,1,0.9,0.2,0.7315789473684211,-0.49479733873265924,full
92,1,0.9,0.2,0.7526315789473684,-0.49477008267088785,full
93,1,0.9,0.2,0.7736842105263158,-0.4948005751800391,full
94,1,0.9,0.2,0.7947368421052632,-0.4948846155542036,full
95,1,0.9,0.2,0.8157894736842105,-0.4950183981118341,full
96,1,0.9,0.2,0.8368421052631578,-0.49519845365919907,full
97,1,0.9,0.2,0.8578947368421053,-0.49542160272214153,full
98,1,0.9,0.2,0.8789473684210527,-0.49568491782665924,full
99,1,0.9,0.2,0.9,-0.4959856927880691,full
100,1,0.9,1.0,0.5,-0.49357588966902977,full
101,1,0.9,1.0,0.5210526315789473,-0.4919961545502149,full
102,1,0.9,1.0,0.5421052631578948,-0.49072289056754553,full
103,1,0.9,1.0,0.5631578947368421,-0.48971154544492235,full
104,1,0.9,1.0,0.5842105263157895,-0.4889258734504506,full
105,1,0.9,1.0,0.6052631578947368,-0.4883360551653677,full
106,1,0.9,1.0,0.6263157894736842,-0.4879172997332824,full
107,1,0.9,1.0,0.6473684210526316,-0.48764879464269295,full
108,1,0.9,1.0,0.6684210526315789,-0.48751290837316175,full
109,1,0.9,1.0,0.6894736842105263,-0.4874945788548198,full
110,1,0.9,1.0,0.7105263157894737,-0.4875808397979201,full
111,1,0.9,1.0,0.7315789473684211,-0.48776045028768633,full
112,1,0.9,1.0,0.7526315789473684,-0.48802360243640663,full
113,1,0.9,1.0,0.7736842105263158,-0.48836168856449563,full
114,1,0.9,1.0,0.7947368421052632,-0.4887671141729717,full
115,1,0.9,1.0,0.8157894736842105,-0.4892331464355574,full
116,1,0.9,1.0,0.8368421052631578,-0.48975379046709255,full
117,1,0.9,1.0,0.8578947368421053,-0.4903236874847206,full
118,1,0.9,1.0,0.8789473684210527,-0.4909380303571222,full
119,1,0.9,1.0,0.9,-0.49159249306710234,full
120,1,0.9,5.0,0.5,-0.4990936481731171,full
121,1,0.9,5.0,0.5210526315789473,-0.49622913342518116,full
122,1,0.9,5.0,0.5421052631578948,-0.4938953073409089,full
123,1,0.9,5.0,0.5631578947368421,-0.49201415788979636,full
124,1,0.9,5.0,0.5842105263157895,-0.4905210243587469,full
125,1,0.9,5.0,0.6052631578947368,-0.4893619650596529,full
126,1,0.9,5.0,0.6263157894736842,-0.48849170239594725,full
127,1,0.9,5.0,0.6473684210526316,-0.4878720087989749,full
128,1,0.9,5.0,0.6684210526315789,-0.4874704308693703,full
129,1,0.9,5.0,0.6894736842105263,-0.4872592743402371,full
130,1,0.9,5.0,0.7105263157894737,-0.487214791336848,full
131,1,0.9,5.0,0.7315789473684211,-0.48731652547870674,full
132,1,0.9,5.0,0.7526315789473684,-0.48754678089057296,full
133,1,0.9,5.0,0.7736842105263158,-0.4878901890807475,full
134,1,0.9,5.0,0.7947368421052632,-0.48833335358875696,full
135,1,0.9,5.0,0.8157894736842105,-0.4888645568023028,full
136,1,0.9,5.0,0.8368421052631578,-0.48947351676402917,full
137,1,0.9,5.0,0.8578947368421053,-0.49015118440409083,full
138,1,0.9,5.0,0.8789473684210527,-0.49088957364515345,full
139,1,0.9,5.0,0.9,-0.4916816183807239,full
140,1,0.9,30.0,0.5,-0.567827105337867,full
141,1,0.9,30.0,0.5210526315789473,-0.5628202166411864,full
142,1,0.9,30.0,0.5421052631578948,-0.5585140296122963,full
143,1,0.9,30.0,0.5631578947368421,-0.5548190910490431,full
144,1,0.9,30.0,0.5842105263157895,-0.5516587930527492,full
145,1,0.9,30.0,0.6052631578947368,-0.5489673315004415,full
146,1,0.9,30.0,0.6263157894736842,-0.5466880126980168,full
147,1,0.9,30.0,0.6473684210526316,-0.5447718463237069,full
148,1,0.9,30.0,0.6684210526315789,-0.5431763739657594,full
149,1,0.9,30.0,0.6894736842105263,-0.5418646917095895,full
150,1,0.9,30.0,0.7105263157894737,-0.5408046327323406,full
151,1,0.9,30.0,0.7315789473684211,-0.5399680820148827,full
152,1,0.9,30.0,0.7526315789473684,-0.5393304003205524,full
153,1,0.9,30.0,0.7736842105263158,-0.5388699387118867,full
154,1,0.9,30.0,0.7947368421052632,-0.5385676282439175,full
155,1,0.9,30.0,0.8157894736842105,-0.5384066322209574,full
156,1,0.9,30.0,0.8368421052631578,-0.5383720506460049,full
157,1,0.9,30.0,0.8578947368421053,-0.5384506683212075,full
158,1,0.9,30.0,0.8789473684210527,-0.5386307395510218,full
159,1,0.9,30.0,0.9,-0.5389018036196049,full
160,1,0.8,0.2,0.5,-0.569700588478322,full
161,1,0.8,0.2,0.5210526315789473,-0.5628932228611692,full
162,1,0.8,0.2,0.5421052631578948,-0.5570403836557445,full
163,1,0.8,0.2,0.5631578947368421,-0.5519648649348141,full
164,1,0.8,0.2,0.5842105263157895,-0.547527406581335,full
165,1,0.8,0.2,0.6052631578947368,-0.5436179216676592,full
166,1,0.8,0.2,0.6263157894736842,-0.5401488452597488,full
167,1,0.8,0.2,0.6473684210526316,-0.5370500849377777,full
168,1,0.8,0.2,0.6684210526315789,-0.5342651759064846,full
169,1,0.8,0.2,0.6894736842105263,-0.531748341491008,full
170,1,0.8,0.2,0.7105263157894737,-0.5294622352282828,full
171,1,0.8,0.2,0.7315789473684211,-0.5273761976533397,full
172,1,0.8,0.2,0.7526315789473684,-0.5254649033074321,full
173,1,0.8,0.2,0.7736842105263158,-0.5237073049594565,full
174,1,0.8,0.2,0.7947368421052632,-0.522085805322218,full
175,1,0.8,0.2,0.8157894736842105,-0.5205856037941823,full
176,1,0.8,0.2,0.8368421052631578,-0.5191941785604083,full
177,1,0.8,0.2,0.8578947368421053,-0.5179008739205576,full
178,1,0.8,0.2,0.8789473684210527,-0.5166965698401367,full
179,1,0.8,0.2,0.9,-0.5155734160742538,full
180,1,0.8,1.0,0.5,-0.584841681904653,full
181,1,0.8,1.0,0.5210526315789473,-0.5751733217036697,full
182,1,0.8,1.0,0.5421052631578948,-0.5667505773259272,full
183,1,0.8,1.0,0.5631578947368421,-0.559371987273263,full
184,1,0.8,1.0,0.5842105263157895,-0.5528738855451337,full
185,1,0.8,1.0,0.6052631578947368,-0.5471227875368717,full
186,1,0.8,1.0,0.6263157894736842,-0.5420093267805668,full
187,1,0.8,1.0,0.6473684210526316,-0.5374434505006666,full
188,1,0.8,1.0,0.6684210526315789,-0.5333506203403824,full
189,1,0.8,1.0,0.6894736842105263,-0.5296688077902736,full
190,1,0.8,1.0,0.7105263157894737,-0.5263461144487359,full
191,1,0.8,1.0,0.7315789473684211,-0.5233388823314212,full
192,1,0.8,1.0,0.7526315789473684,-0.520610188383053,full
193,1,0.8,1.0,0.7736842105263158,-0.5181286405512304,full
194,1,0.8,1.0,0.7947368421052632,-0.5158674110772715,full
195,1,0.8,1.0,0.8157894736842105,-0.5138034569352056,full
196,1,0.8,1.0,0.8368421052631578,-0.511916888424605,full
197,1,0.8,1.0,0.8578947368421053,-0.51019045548949,full
198,1,0.8,1.0,0.8789473684210527,-0.5086091279569414,full
199,1,0.8,1.0,0.9,-0.5071597510105292,full
200,1,0.8,5.0,0.5,-0.6436980347200624,full
201,1,0.8,5.0,0.5210526315789473,-0.6296483621556636,full
202,1,0.8,5.0,0.5421052631578948,-0.6170927647101756,full
203,1,0.8,5.0,0.5631578947368421,-0.6058454215108847,full
204,1,0.8,5.0,0.5842105263157895,-0.595746131570894,full
205,1,0.8,5.0,0.6052631578947368,-0.5866568023600779,full
206,1,0.8,5.0,0.6263157894736842,-0.5784583268480854,full
207,1,0.8,5.0,0.6473684210526316,-0.5710478479320807,full
208,1,0.8,5.0,0.6684210526315789,-0.5643363895490967,full
209,1,0.8,5.0,0.6894736842105263,-0.5582468226349941,full
210,1,0.8,5.0,0.7105263157894737,-0.5527121291562963,full
211,1,0.8,5.0,0.7315789473684211,-0.5476739266480545,full
212,1,0.8,5.0,0.7526315789473684,-0.5430812174207669,full
