,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path
110,10,10,15,178,3,0,4,3,False,0,0,10,True
111,11,11,12,190,4,4,4,0,True,0,0,10,True
112,12,12,17,207,4,4,4,0,True,0,0,10,True
113,13,13,20,227,4,4,4,0,True,0,0,10,True
114,14,14,22,249,5,5,4,1,True,0,0,10,True
115,15,15,13,262,5,5,4,1,True,0,0,10,True
116,16,16,12,274,3,2,4,3,False,0,0,10,False
117,17,17,21,295,5,4,4,1,False,0,0,10,True
118,18,18,18,313,4,4,4,0,True,0,0,10,True
119,19,19,22,335,7,4,4,2,False,0,0,10,True
120,20,20,12,347,4,2,4,0,False,1,1,10,True
121,21,21,10,357,4,4,4,0,True,0,0,10,True
122,22,22,17,374,1,1,4,3,True,0,0,10,True
123,23,23,17,391,4,4,4,0,True,0,0,10,True
124,24,24,18,409,5,5,4,1,True,0,0,10,True
125,25,25,12,421,7,7,4,2,True,0,0,10,True
126,26,26,13,434,4,4,4,0,True,0,0,10,True
127,27,27,16,450,4,4,4,0,True,0,0,10,True
128,28,28,9,459,4,4,4,0,True,0,0,10,True
129,29,29,17,476,6,6,4,2,True,0,0,10,True
130,30,30,12,488,4,4,4,0,True,0,0,10,True
131,31,31,16,504,4,4,4,0,True,0,0,10,True
132,32,32,23,527,4,4,4,0,True,0,0,10,True
133,33,33,14,541,6,2,4,2,False,0,0,10,True
134,34,34,17,558,4,4,4,0,True,0,0,10,True
135,35,35,15,573,5,4,4,1,False,0,0,10,True
136,36,36,12,585,4,4,4,0,True,0,0,10,False
137,37,37,17,602,7,5,4,2,False,0,0,10,True
138,38,38,19,621,6,5,4,2,False,0,0,10,True
139,39,39,7,628,1,0,4,3,False,0,0,10,True
140,40,40,16,644,3,2,4,3,False,0,0,10,True
141,41,41,9,653,2,7,4,3,False,0,0,10,True
142,42,42,18,671,1,1,4,3,True,0,0,10,True
143,43,43,16,687,1,2,4,3,False,0,0,10,True
144,44,44,14,701,4,6,4,0,False,1,2,10,True
145,45,45,18,719,2,0,4,3,False,0,0,10,True
146,46,46,15,734,6,5,4,2,False,0,0,10,True
147,47,47,11,745,4,4,4,0,True,0,0,10,True
148,48,48,15,760,2,2,4,3,True,0,0,10,True
149,49,49,17,777,4,4,4,0,True,0,0,10,True
150,50,50,15,792,5,5,4,1,True,0,0,10,True
