,id,rho,alpha,ll,model_type
864,26,0.99,54.6,-1.670016171873036,full
865,26,0.95,0.02,-1.1598099735619074,learn_only
866,26,0.95,0.14,-1.031482800841506,learn_only
867,26,0.95,1.0,-0.8530111431195102,learn_only
868,26,0.95,7.39,-0.737291315316905,learn_only
869,26,0.95,54.6,-0.7589958984570013,learn_only
870,26,0.7,1.0,-0.6745206557685252,plan_only
871,26,0.7725,1.0,-0.6495111062392207,plan_only
872,26,0.845,1.0,-0.659869863519362,plan_only
873,26,0.9175,1.0,-0.77140237424008,plan_only
874,26,0.99,1.0,-1.5747421913798998,plan_only
875,27,0.7,0.02,-0.7458144677765801,full
876,27,0.7,0.14,-0.7463742446890118,full
877,27,0.7,1.0,-0.7836367235041363,full
878,27,0.7,7.39,-0.8939606385484737,full
879,27,0.7,54.6,-0.9814585528294113,full
880,27,0.7725,0.02,-0.676335671505646,full
881,27,0.7725,0.14,-0.6710129125011428,full
882,27,0.7725,1.0,-0.6678694376983159,full
883,27,0.7725,7.39,-0.7378868012714201,full
884,27,0.7725,54.6,-0.8359742257079305,full
885,27,0.845,0.02,-0.6720962601393959,full
886,27,0.845,0.14,-0.6600006468076195,full
887,27,0.845,1.0,-0.6225798357224678,full
888,27,0.845,7.39,-0.62673846592304,full
889,27,0.845,54.6,-0.7028396698697021,full
890,27,0.9175,0.02,-0.7139395820559382,full
891,27,0.9175,0.14,-0.6931308086364977,full
892,27,0.9175,1.0,-0.6405600796425238,full
893,27,0.9175,7.39,-0.5990500656039129,full
894,27,0.9175,54.6,-0.6203162952712454,full
895,27,0.99,0.02,-0.9299750605887956,full
896,27,0.99,0.14,-0.9265266671561123,full
897,27,0.99,1.0,-0.9293946819492396,full
898,27,0.99,7.39,-0.9278741709452796,full
899,27,0.99,54.6,-0.9103988606199624,full
900,27,0.95,0.02,-1.0535150261698099,learn_only
901,27,0.95,0.14,-1.0201149009099422,learn_only
902,27,0.95,1.0,-0.9894037652128571,learn_only
903,27,0.95,7.39,-1.0603341478120165,learn_only
904,27,0.95,54.6,-1.25927333586429,learn_only
905,27,0.7,1.0,-1.0109320620885534,plan_only
906,27,0.7725,1.0,-0.8759266181740897,plan_only
907,27,0.845,1.0,-0.7478486127283296,plan_only
908,27,0.9175,1.0,-0.653354178239545,plan_only
909,27,0.99,1.0,-0.8932432288380617,plan_only
910,28,0.7,0.02,-0.8778097980912252,full
911,28,0.7,0.14,-0.8591202617635645,full
912,28,0.7,1.0,-0.9097272007041608,full
913,28,0.7,7.39,-1.0650346296207913,full
914,28,0.7,54.6,-1.1755588795212957,full
915,28,0.7725,0.02,-0.7994519996931342,full
916,28,0.7725,0.14,-0.7402609951640875,full
917,28,0.7725,1.0,-0.7070318262583066,full
918,28,0.7725,7.39,-0.825392573653582,full
919,28,0.7725,54.6,-0.959315762057883,full
920,28,0.845,0.02,-0.7223910642433837,full
921,28,0.845,0.14,-0.6412629374116601,full
922,28,0.845,1.0,-0.5562718650440037,full
923,28,0.845,7.39,-0.60944493375259,full
924,28,0.845,54.6,-0.7363558199525448,full
925,28,0.9175,0.02,-0.5723759833094905,full
926,28,0.9175,0.14,-0.49793130190554813,full
927,28,0.9175,1.0,-0.42123920143492716,full
928,28,0.9175,7.39,-0.4337819154163062,full
929,28,0.9175,54.6,-0.5203790789525259,full
930,28,0.99,0.02,-0.38543332868530245,full
